OPCS_4.9,Description
J42.1,J42.1: Endoscopic retrograde insertion of tubal prosthesis into pancreatic duct
J42.2,J42.2: Endoscopic retrograde renewal of tubal prosthesis in pancreatic duct
J42.3,J42.3: Endoscopic retrograde removal of calculus from pancreatic duct
J42.4,J42.4: Endoscopic retrograde drainage of lesion of pancreas
J42.5,J42.5: Endoscopic retrograde dilation of pancreatic duct
J42.8,J42.8: Other specified therapeutic endoscopic retrograde operations on pancreatic duct
J42.9,J42.9: Unspecified therapeutic endoscopic retrograde operations on pancreatic duct
J43.1,J43.1: Endoscopic retrograde cholangiopancreatography and biopsy of lesion of ampulla of Vater
J43.2,J43.2: Endoscopic retrograde cholangiopancreatography and biopsy of lesion of biliary or pancreatic system NEC
J43.3,J43.3: Endoscopic retrograde cholangiopancreatography and collection of bile
J43.8,J43.8: Other specified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct
J43.9,J43.9: Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct
J44.1,J44.1: Endoscopic retrograde cholangiography and biopsy of lesion of bile duct
J44.8,J44.8: Other specified diagnostic endoscopic retrograde examination of bile duct
J44.9,J44.9: Unspecified diagnostic endoscopic retrograde examination of bile duct
J45.1,J45.1: Endoscopic retrograde pancreatography and biopsy of lesion of pancreas
J45.2,J45.2: Endoscopic retrograde pancreatography and collection of pancreatic juice
J45.3,J45.3: Endoscopic retrograde pancreatography through accessory ampulla of Vater
J45.8,J45.8: Other specified diagnostic endoscopic retrograde examination of pancreatic duct
J45.9,J45.9: Unspecified diagnostic endoscopic retrograde examination of pancreatic duct
J46.1,J46.1: Percutaneous dilation of anastomosis of bile duct and insertion of tubal prosthesis HFQ
J46.2,J46.2: Percutaneous dilation of anastomosis of bile duct NEC
J46.8,J46.8: Other specified therapeutic percutaneous attention to connection of bile duct
J46.9,J46.9: Unspecified therapeutic percutaneous attention to connection of bile duct
J47.1,J47.1: Percutaneous insertion of tubal prosthesis into both hepatic ducts
J47.2,J47.2: Percutaneous insertion of tubal prosthesis into right hepatic duct NEC
J47.3,J47.3: Percutaneous insertion of tubal prosthesis into left hepatic duct NEC
J47.4,J47.4: Percutaneous insertion of tubal prosthesis into hepatic duct NEC
J47.5,J47.5: Percutaneous insertion of tubal prosthesis into common bile duct
J47.8,J47.8: Other specified therapeutic percutaneous insertion of prosthesis into bile duct
J47.9,J47.9: Unspecified therapeutic percutaneous insertion of prosthesis into bile duct
J48.1,J48.1: Renewal of percutaneously inserted tubal prosthesis in bile duct
J48.2,J48.2: Removal of percutaneously inserted tubal prosthesis from bile duct
J48.3,J48.3: Attention to percutaneously inserted tubal prosthesis in bile duct NEC
J48.4,J48.4: Percutaneous photodynamic therapy of lesion of bile duct
J48.5,J48.5: Percutaneous transhepatic biliary drainage multiple
J48.6,J48.6: Percutaneous transhepatic biliary drainage single
J48.7,J48.7: Percutaneous brachytherapy of lesion of bile duct
J48.8,J48.8: Other specified other therapeutic percutaneous operations on bile duct
J48.9,J48.9: Unspecified other therapeutic percutaneous operations on bile duct
J49.1,J49.1: Endoscopic removal of calculus from bile duct along T tube track
J49.2,J49.2: Percutaneous removal of calculus from bile duct along T tube track
J49.8,J49.8: Other specified therapeutic operations on bile duct along T tube track
J49.9,J49.9: Unspecified therapeutic operations on bile duct along T tube track
J50.1,J50.1: T tube cholangiography
J50.2,J50.2: Percutaneous cholangiography NEC
J50.3,J50.3: Percutaneous transbiliary biopsy of lesion of bile duct
J50.4,J50.4: Percutaneous transjejunal cholangiography
J50.5,J50.5: Percutaneous transhepatic cholangiography
J50.6,J50.6: Percutaneous transjejunal examination of bile duct NEC
J50.7,J50.7: Percutaneous transhepatic cholangioscopy
J50.8,J50.8: Other specified percutaneous examination of bile duct
J50.9,J50.9: Unspecified percutaneous examination of bile duct
J51.1,J51.1: Laparoscopic ultrasound examination of bile duct and biopsy of lesion of bile duct
J51.8,J51.8: Other specified laparoscopic ultrasound examination of bile duct
J51.9,J51.9: Unspecified laparoscopic ultrasound examination of bile duct
J52.1,J52.1: Extracorporeal lithotripsy of calculus in bile duct
J52.8,J52.8: Other specified other operations on bile duct
J52.9,J52.9: Unspecified other operations on bile duct
J53.1,J53.1: Endoscopic ultrasound examination of bile duct and biopsy of lesion of bile duct
J53.8,J53.8: Other specified endoscopic ultrasound examination of bile duct
J53.9,J53.9: Unspecified endoscopic ultrasound examination of bile duct
J54.1,J54.1: Transplantation of pancreas and duodenum
J54.2,J54.2: Transplantation of whole pancreas
J54.3,J54.3: Transplantation of tail of pancreas
J54.4,J54.4: Transplantation of islet of Langerhans
J54.5,J54.5: Renewal of transplanted pancreatic tissue
J54.8,J54.8: Other specified transplantation of pancreas
J54.9,J54.9: Unspecified transplantation of pancreas
J55.1,J55.1: Total pancreatectomy and excision of surrounding tissue
J55.2,J55.2: Total pancreatectomy NEC
J55.3,J55.3: Excision of transplanted pancreas
J55.8,J55.8: Other specified total excision of pancreas
J55.9,J55.9: Unspecified total excision of pancreas
J56.1,J56.1: Pancreaticoduodenectomy and excision of surrounding tissue
J56.2,J56.2: Pancreaticoduodenectomy and resection of antrum of stomach
J56.3,J56.3: Pancreaticoduodenectomy NEC
J56.4,J56.4: Subtotal excision of head of pancreas with preservation of duodenum and drainage HFQ
J56.8,J56.8: Other specified excision of head of pancreas
J56.9,J56.9: Unspecified excision of head of pancreas
J57.1,J57.1: Subtotal pancreatectomy
J57.2,J57.2: Left pancreatectomy and drainage of pancreatic duct
J57.3,J57.3: Left pancreatectomy NEC
J57.4,J57.4: Excision of tail of pancreas and drainage of pancreatic duct
J57.5,J57.5: Excision of tail of pancreas NEC
J57.6,J57.6: Pancreatic necrosectomy
J57.8,J57.8: Other specified other partial excision of pancreas
J57.9,J57.9: Unspecified other partial excision of pancreas
J58.1,J58.1: Excision of lesion of islet of Langerhans
J58.2,J58.2: Excision of lesion of pancreas NEC
J58.3,J58.3: Destruction of lesion of pancreas
J58.8,J58.8: Other specified extirpation of lesion of pancreas
J58.9,J58.9: Unspecified extirpation of lesion of pancreas
J59.1,J59.1: Anastomosis of pancreatic duct to stomach
J59.2,J59.2: Anastomosis of pancreatic duct to duodenum
J59.3,J59.3: Anastomosis of pancreatic duct to transposed jejunum
J59.4,J59.4: Anastomosis of pancreatic duct to jejunum NEC
J59.5,J59.5: Revision of anastomosis of pancreatic duct
J59.6,J59.6: Closure of anastomosis of pancreatic duct
J59.8,J59.8: Other specified connection of pancreatic duct
J59.9,J59.9: Unspecified connection of pancreatic duct
J60.1,J60.1: Drainage of pancreatic duct
J60.2,J60.2: Open removal of calculus from pancreatic duct
J60.3,J60.3: Insertion of T tube into pancreatic duct
J60.4,J60.4: Open insertion of tubal prosthesis into pancreatic duct
J60.5,J60.5: Open dilation of pancreatic duct
J60.8,J60.8: Other specified other open operations on pancreatic duct
J60.9,J60.9: Unspecified other open operations on pancreatic duct
J61.1,J61.1: Open cystogastrotomy of pancreas
J61.2,J61.2: Drainage of cyst of pancreas into transposed jejunum
J61.3,J61.3: Drainage of cyst of pancreas into jejunum NEC
J61.4,J61.4: Drainage of cyst of pancreas NEC
J61.8,J61.8: Other specified open drainage of lesion of pancreas
J61.9,J61.9: Unspecified open drainage of lesion of pancreas
J62.1,J62.1: Division of annular pancreas
J62.8,J62.8: Other specified incision of pancreas
J62.9,J62.9: Unspecified incision of pancreas
J63.1,J63.1: Open pancreatography through tail of pancreas
J63.2,J63.2: Open pancreatography through papilla of Vater
J63.3,J63.3: Open pancreatography NEC
J63.8,J63.8: Other specified open examination of pancreas
J63.9,J63.9: Unspecified open examination of pancreas
J65.1,J65.1: Open biopsy of lesion of pancreas
J65.8,J65.8: Other specified other open operations on pancreas
J65.9,J65.9: Unspecified other open operations on pancreas
J66.1,J66.1: Percutaneous drainage of lesion of pancreas and insertion of cystogastrostomy tube NEC
J66.2,J66.2: Percutaneous drainage of lesion of pancreas and insertion of temporary external drain HFQ
J66.3,J66.3: Percutaneous drainage of lesion of pancreas NEC
J66.4,J66.4: Percutaneous aspiration of lesion of pancreas
J66.5,J66.5: Percutaneous chemical ablation of lesion of pancreas
J66.8,J66.8: Other specified therapeutic percutaneous operations on pancreas
J66.9,J66.9: Unspecified therapeutic percutaneous operations on pancreas
J67.1,J67.1: Diagnostic percutaneous aspiration of lesion of pancreas
J67.2,J67.2: Percutaneous puncture of pancreatic duct and pancreatography
J67.3,J67.3: Percutaneous biopsy of lesion of pancreas
J67.8,J67.8: Other specified diagnostic percutaneous operations on pancreas
J67.9,J67.9: Unspecified diagnostic percutaneous operations on pancreas
J68.1,J68.1: Extracorporeal shockwave lithotripsy of calculus of pancreas
J68.8,J68.8: Other specified other operations on pancreas
J68.9,J68.9: Unspecified other operations on pancreas
J69.1,J69.1: Total excision of spleen and replantation of fragments of spleen
J69.2,J69.2: Total splenectomy
J69.3,J69.3: Excision of accessory spleen
J69.8,J69.8: Other specified total excision of spleen
J69.9,J69.9: Unspecified total excision of spleen
J70.1,J70.1: Partial splenectomy
J70.2,J70.2: Marsupialisation of lesion of spleen
J70.8,J70.8: Other specified other excision of spleen
J70.9,J70.9: Unspecified other excision of spleen
J72.1,J72.1: Transplantation of spleen
J72.2,J72.2: Embolisation of spleen
J72.3,J72.3: Biopsy of lesion of spleen
J72.4,J72.4: Repair of spleen
J72.5,J72.5: Banding of spleen
J72.8,J72.8: Other specified other operations on spleen
J72.9,J72.9: Unspecified other operations on spleen
J73.1,J73.1: Laparoscopic ultrasound examination of pancreas and biopsy of lesion of pancreas
J73.8,J73.8: Other specified laparoscopic ultrasound examination of pancreas
J73.9,J73.9: Unspecified laparoscopic ultrasound examination of pancreas
J74.1,J74.1: Endoscopic ultrasound examination of pancreas and biopsy of lesion of pancreas
J74.8,J74.8: Other specified endoscopic ultrasound examination of pancreas
J74.9,J74.9: Unspecified endoscopic ultrasound examination of pancreas
J76.1,J76.1: Percutaneous transhepatic removal of calculus from bile duct
J76.2,J76.2: Percutaneous balloon dilation of bile duct
J76.8,J76.8: Other specified therapeutic percutaneous operations on bile duct
J76.9,J76.9: Unspecified therapeutic percutaneous operations on bile duct
J77.1,J77.1: Percutaneous transhepatic portal venous sampling
J77.8,J77.8: Other specified other transluminal operations on blood vessel of liver
J77.9,J77.9: Unspecified other transluminal operations on blood vessel of liver
K01.1,K01.1: Allotransplantation of heart and lung
K01.2,K01.2: Revision of transplantation of heart and lung
K01.8,K01.8: Other specified transplantation of heart and lung
K01.9,K01.9: Unspecified transplantation of heart and lung
K02.1,K02.1: Allotransplantation of heart NEC
K02.2,K02.2: Xenotransplantation of heart
K02.3,K02.3: Implantation of prosthetic heart
K02.4,K02.4: Piggyback transplantation of heart
K02.5,K02.5: Revision of implantation of prosthetic heart
K02.6,K02.6: Revision of transplantation of heart NEC
K02.8,K02.8: Other specified other transplantation of heart
K02.9,K02.9: Unspecified other transplantation of heart
K04.1,K04.1: Repair of tetralogy of Fallot using valved right ventricular outflow conduit
K04.2,K04.2: Repair of tetralogy of Fallot using right ventricular outflow conduit NEC
K04.3,K04.3: Repair of tetralogy of Fallot using transannular patch
K04.4,K04.4: Revision of repair of tetralogy of Fallot
K04.5,K04.5: Repair of tetralogy of Fallot with absent pulmonary valve
K04.6,K04.6: Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals
K04.8,K04.8: Other specified repair of tetralogy of Fallot
K04.9,K04.9: Unspecified repair of tetralogy of Fallot
K05.1,K05.1: Reconstruction of atrium using atrial patch for transposition of great arteries
K05.2,K05.2: Reconstruction of atrium using atrial wall for transposition of great arteries
K05.8,K05.8: Other specified atrial inversion operations for transposition of great arteries
K05.9,K05.9: Unspecified atrial inversion operations for transposition of great arteries
K06.1,K06.1: Repositioning of transposed great arteries
K06.2,K06.2: Left ventricle to aorta tunnel with right ventricle to pulmonary trunk direct anastomosis
K06.3,K06.3: Left ventricle to aorta tunnel with right ventricle to pulmonary artery valved conduit
K06.4,K06.4: Atrial inversion and repositioning of transposed great artery
K06.8,K06.8: Other specified other repair of transposition of great arteries
K06.9,K06.9: Unspecified other repair of transposition of great arteries
K07.1,K07.1: Correction of total anomalous pulmonary venous connection to supracardiac vessel
K07.2,K07.2: Correction of total anomalous pulmonary venous connection to coronary sinus
K07.3,K07.3: Correction of total anomalous pulmonary venous connection to infradiaphragmatic vessel
K07.8,K07.8: Other specified correction of total anomalous pulmonary venous connection
K07.9,K07.9: Unspecified correction of total anomalous pulmonary venous connection
K08.1,K08.1: Repair of double outlet right ventricle with intraventricular tunnel
K08.2,K08.2: Repair of Fallot-type double outlet right ventricle
K08.3,K08.3: Repair of double outlet right ventricle
K08.4,K08.4: Repair of double outlet left ventricle
K08.8,K08.8: Other specified repair of double outlet ventricle
K08.9,K08.9: Unspecified repair of double outlet ventricle
K09.1,K09.1: Repair of defect of atrioventricular septum using dual prosthetic patches
K09.2,K09.2: Repair of defect of atrioventricular septum using prosthetic patch NEC
K09.3,K09.3: Repair of defect of atrioventricular septum using tissue graft
K09.4,K09.4: Repair of persistent ostium primum
K09.5,K09.5: Primary repair of defect of atrioventricular septum NEC
K09.6,K09.6: Revision of repair of defect of atrioventricular septum
